"","year","observed","predicted","posteriorPred"
"1",1977,2.37954613413017,3.2993015430615,3.3100765569426
"2",1978,2.484906649788,3.3506772164353,3.35341853523552
"3",1979,4.25985900069967,3.372429175144,3.36196385492609
"4",1980,3.88567903008854,3.44269263727543,3.43549679553272
"5",1981,2.86220088092947,3.51810234136504,3.50953658512271
"6",1982,3.94158180766969,3.55524342227042,3.54241647724013
"7",1983,3.68887945411394,3.70812595697521,3.69447322521637
"8",1984,3.44361809754611,3.7852230670063,3.77826610516967
"9",1985,1.88555334851442,3.76265281468322,3.75564553638573
"10",1986,3.03974915897077,3.14754717650036,3.1431872292098
"11",1987,2.62466859216316,2.76994776883394,2.77384762542319
"12",1988,1.44220199305819,2.69143169739378,2.6956929377247
"13",1989,1.71018781553424,2.82328412001571,2.8245890330447
"14",1990,2.39789527279837,3.0394322884767,3.03915103370178
"15",1991,3.10906095886099,2.77885837471783,2.77907621509548
"16",1992,1.68268837417369,2.68118890457538,2.68689484754328
"17",1993,3.16547504814109,2.53543225368825,2.54157982277148
"18",1994,1.71199450075919,2.47572463770543,2.48270406995454
"19",1995,1.92278773163446,2.75298517901044,2.75654869438262
"20",1996,2.37024374146786,2.89134370057318,2.89156835851347
"21",1997,2.98568193770049,3.12605207902114,3.13355138841292
"22",1998,2.08567209143047,3.13970365755798,3.1380908711363
"23",1999,3.54095932403731,2.62713801398282,2.62641712502246
"24",2000,2.69462718077007,3.11391630083833,3.11115153978201
"25",2001,2.69462718077007,3.16624925979152,3.15941518468452
"26",2002,3.71113006304876,3.1086778893469,3.11120886840554
"27",2003,2.484906649788,2.98098544965869,2.98508390720134
"28",2004,2.22245904851476,2.63788192016201,2.64115610647196
"29",2005,2.41591377830105,2.67443355701267,2.67964397141517
"30",2006,1.93585981320181,2.50405247230312,2.51277569201029
"31",2007,2.26592110862245,2.44127669558785,2.44067964586913
"32",2008,2.21920348405499,2.79498029855698,2.79061753952215
"33",2009,2.67414864942653,2.121908947805,2.13115059908416
"34",2010,3.06339092202781,1.48107195150592,1.48889741641819
"35",2011,2.15176220325946,2.36012804915633,2.362455582637
"36",2012,2.47653840011748,3.07778273182348,3.07344606713656
"37",2013,1.34025042261848,3.16864067057911,3.16303006470135
"38",2014,1.97962120639763,3.3868409201544,3.39375115521794
"39",2015,2.68102152871429,3.85720556279561,3.85683903138476
"40",2016,3.87949981372259,4.07010884785971,4.06873606542625
"41",2017,3.10458667846607,4.07627828206374,4.07535319062385
"42",2018,4.51743127168008,3.88595725812705,3.88377003527415
"43",2019,4.3528552573736,3.79238763654995,3.79520250263401
"44",2020,3.78872478908365,3.93316651313306,3.93031998800663
"45",2021,4.50534985070588,3.77061930953738,3.7645686975873
